일정 제목,URL,날짜,도시,메모,상태,예산,체크리스트,카테고리
인천공항 출발 → 남경 녹구국제공항 도착,,2026년 5월 9일,남경,"출발: 인천공항 10:00, 도착: 남경 녹구국제공항 12:30 (현지시간), 항공편 확인 필요",예정,"CN¥450,000.00",No,이동
남경 시내 호텔 체크인,,2026년 5월 9일,남경,"신가구 지역 호텔, 체크인 14:00, 2박 예약",예정,"CN¥600,000.00",No,숙박
중화문(中华门) 및 부자묘(夫子庙) 관광,,2026년 5월 10일,남경,"남경 대표 명소, 야경이 아름다움, 저녁 시간 방문 추천",예정,"CN¥100,000.00",No,관광
남경 오리요리(南京烤鸭) 저녁 식사,,2026년 5월 10일,남경,"부자묘 인근 전통 오리요리 맛집, 인당 150위안 예상",예정,"CN¥80,000.00",No,식사
중산릉(中山陵) 및 명효릉(明孝陵) 방문,,2026년 5월 11일,남경,"손문 선생 묘지 및 명나라 황제릉, 이른 아침 방문 권장, 입장료 80위안",예정,"CN¥120,000.00",No,관광
남경 → 합비 고속철 이동,,2026년 5월 11일,합비,"남경남역 출발 15:30 → 합비남역 도착 17:00, G자 고속철 예약 필요",예정,"CN¥150,000.00",No,이동
합비 시내 호텔 체크인,,2026년 5월 11일,합비,"합비역 인근 비즈니스 호텔, 2박 예약, 체크인 18:00",예정,"CN¥400,000.00",No,숙박
포공사(包公祠) 및 포하공원 관광,,2026년 5월 12일,합비,"북송시대 청백리 포청천 사당, 입장료 50위안, 오전 방문",예정,"CN¥80,000.00",No,관광
회주 전통거리 쇼핑 및 식사,,2026년 5월 12일,합비,"안휘성 전통 먹거리 및 기념품 구매, 저녁 식사 포함",예정,"CN¥200,000.00",No,쇼핑
합비 신교국제공항 → 인천공항 귀국,,2026년 5월 13일,합비,"출발: 합비 14:00, 도착: 인천 17:30, 3시간 전 공항 도착 필수",예정,"CN¥450,000.00",No,이동
